,Award,Title,URL
0,Best data-driven reporting (large newsrooms),The Troika Laundromat,https://www.occrp.org/en/troikalaundromat/vast-offshore-network-moved-billions-with-help-from-major-russian-bank
1,Best data-driven reporting (large newsrooms),"Copy, Paste, Legislate",https://www.usatoday.com/in-depth/news/investigations/2019/04/03/abortion-gun-laws-stand-your-ground-model-bills-conservatives-liberal-corporate-influence-lobbyists/3162173002/
2,Best data-driven reporting (small newsrooms),Made in France,https://made-in-france.disclose.ngo/en/
3,Best news application,HOT DISINFO FROM RUSSIA (Topic radar),https://topic-radar.texty.org.ua
4,Best visualization (large newsrooms),See How the World's Most Polluted Air Compares With Your City's,https://www.nytimes.com/interactive/2019/12/02/climate/air-pollution-compare-ar-ul.html
5,Best visualization (large newsrooms),Why your smartphone is causing you ‘text neck' syndrome,https://multimedia.scmp.com/lifestyle/article/2183329/text-neck/
6,Best visualization (small newsrooms),Danish scam,https://pointer.kro-ncrv.nl/artikelen/het-verhaal-achter-een-identiteitsroof#lang=en
7,Innovation (large newsrooms),AP DataKit: an adaptable data project organization toolkit,http://datakit.ap.org/
8,Innovation (large newsrooms),Zones of Silence,https://zonas-de-silencio.eluniversal.com.mx/
9,Innovation (small newsrooms),Funes: an algorithm to fight corruption,https://ojo-publico.com/especiales/funes/
10,Open data,TodosLosContratos.mx,https://www.todosloscontratos.mx/
